Rank,Title,Genre,Director,Year,Runtime (Minutes),IMDB Rating,Votes,Revenue (Millions),Metascore
1,Guardians of the Galaxy,Action,James Gunn,2014,121,8.1,757074,333.13,76
2,Prometheus,Adventure,Ridley Scott,2012,124,7,485820,126.46,65
3,Split,Horror,M. Night Shyamalan,2016,117,7.3,157606,138.12,62
4,Sing,Animation,Christophe Lourdelet,2016,108,7.2,60545,270.32,59
5,Suicide Squad,Action,David Ayer,2016,123,6.2,393727,325.02,40
6,The Great Wall,Action,Yimou Zhang,2016,103,6.1,56036,45.13,42
7,La La Land,Comedy,Damien Chazelle,2016,128,8.3,258682,151.06,93
8,Mindhorn,Comedy,Sean Foley,2016,89,6.4,2490,0,71
9,The Lost City of Z,Action,James Gray,2016,141,0,7188,8.01,78
10,Passengers,Adventure,Morten Tyldum,2016,116,7,192177,100.01,41
11,Fantastic Beasts and Where to Find Them,Adventure,David Yates,2016,133,7.5,232072,234.02,66
12,Hidden Figures,Biography,Theodore Melfi,0,127,7.8,93103,169.27,74
13,Rogue One,Action,Gareth Edwards,2016,133,0,323118,532.17,65
14,Moana,Animation,Ron Clements,2016,107,7.7,118151,248.75,81
15,Colossal,Action,Nacho Vigalondo,2016,109,6.4,8612,2.87,70
16,The Secret Life of Pets,Animation,Chris Renaud,2016,87,6.6,120259,368.31,61
17,Hacksaw Ridge,Biography,Mel Gibson,2016,139,8.2,211760,67.12,71
18,Jason Bourne,Action,Paul Greengrass,2016,123,6.7,150823,162.16,58
19,Lion,Biography,Garth Davis,2016,118,8.1,102061,51.69,69
20,Arrival,Drama,Denis Villeneuve,2016,116,8,340798,100.5,81
21,Gold,Adventure,Stephen Gaghan,2016,120,6.7,19053,7.22,49
22,Manchester by the Sea,Drama,Kenneth Lonergan,2016,137,7.9,134213,47.7,96
23,Hounds of Love,Crime,Ben Young,2016,108,6.7,1115,0,72
24,Trolls,Animation,Walt Dohrn,2016,92,6.5,38552,153.69,56
25,Independence Day: Resurgence,Action,Roland Emmerich,2016,120,5.3,127553,103.14,32
26,Paris pieds nus,Comedy,Dominique Abel,2016,83,6.8,222,0,0
27,Bahubali: The Beginning,Action,S.S. Rajamouli,2015,159,8.3,76193,6.5,0
28,Dead Awake,Horror,Phillip Guzman,2016,99,4.7,523,0.01,0
29,Bad Moms,Comedy,Jon Lucas,2016,100,6.2,66540,113.08,60
30,Assassin's Creed,Action,Justin Kurzel,0,115,5.9,112813,54.65,36
31,Why Him?,Comedy,John Hamburg,2016,111,0,48123,60.31,39
32,Nocturnal Animals,Drama,Tom Ford,2016,116,7.5,126030,10.64,67
33,X-Men: Apocalypse,Action,Bryan Singer,2016,144,7.1,275510,155.33,52
34,Deadpool,Action,Tim Miller,2016,108,8,627797,363.02,65
35,Resident Evil: The Final Chapter,Action,Paul W.S. Anderson,2016,107,5.6,46165,26.84,49
