Task - 1,"Download a sample dataset of IPL cricket matches with columns like Match Date, Team, Venue, and Result, and create a PivotChart in Excel that shows the total number of matches played by each team.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Row Labels,Count of team2,,,,,,,,,,,,,,
KKR,18,,,,,,,,,,,,,,
CSK,19,,,,,,,,,,,,,,
RR,15,,,,,,,,,,,,,,
MI,21,,,,,,,,,,,,,,
DC,13,,,,,,,,,,,,,,
KXIP,14,,,,,,,,,,,,,,
RCB,16,,,,,,,,,,,,,,
DD,12,,,,,,,,,,,,,,
KTK,2,,,,,,,,,,,,,,
PW,4,,,,,,,,,,,,,,
SRH,8,,,,,,,,,,,,,,
RPS,1,,,,,,,,,,,,,,
GL,2,,,,,,,,,,,,,,
Grand Total,145,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Task - 2,"Add a slicer to your PivotChart that allows you to filter the matches by Venue, so you can quickly see team performance at different stadiums.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
winner,Count of id,,,,,,,,,,,,,,
N/A,1,,,,,,,,,,,,,,
KKR,17,,,,,,,,,,,,,,
CSK,19,,,,,,,,,,,,,,
DD,15,,,,,,,,,,,,,,
RCB,20,,,,,,,,,,,,,,
RR,14,,,,,,,,,,,,,,
KXIP,13,,,,,,,,,,,,,,
DC,9,,,,,,,,,,,,,,
MI,17,,,,,,,,,,,,,,
PW,6,,,,,,,,,,,,,,
KTK,1,,,,,,,,,,,,,,
SRH,9,,,,,,,,,,,,,,
RPS,2,,,,,,,,,,,,,,
GL,2,,,,,,,,,,,,,,
Grand Total,145,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Task - 3,"Insert a Timeline slicer to your PivotChart based on the Match Date column, enabling you to filter and analyze team performance across different IPL seasons or months.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
winner,Count of winner,,,,,,,,,,,,,,
N/A,1,,,,,,,,,,,,,,
KKR,17,,,,,,,,,,,,,,
CSK,19,,,,,,,,,,,,,,
DD,15,,,,,,,,,,,,,,
RCB,20,,,,,,,,,,,,,,
RR,14,,,,,,,,,,,,,,
KXIP,13,,,,,,,,,,,,,,
DC,9,,,,,,,,,,,,,,
MI,17,,,,,,,,,,,,,,
PW,6,,,,,,,,,,,,,,
KTK,1,,,,,,,,,,,,,,
SRH,9,,,,,,,,,,,,,,
RPS,2,,,,,,,,,,,,,,
GL,2,,,,,,,,,,,,,,
